call_id,priority,date,call_start,xcall_exit,call_total_sec,q_start,q_exit,q_time_sec,server
33116,2,20 October 2019,00:00:31,00:00:36,5,00:00:36,00:03:09,153,NO_SERVER
33117,0,20 October 2019,00:34:12,00:34:23,11,00:00:00,00:00:00,0,NO_SERVER
33118,2,20 October 2019,06:55:20,06:55:26,6,06:55:26,06:55:43,17,MICHAL
33119,0,20 October 2019,07:41:16,07:41:26,10,00:00:00,00:00:00,0,BASCH
33120,0,20 October 2019,08:03:14,08:03:24,10,00:00:00,00:00:00,0,MICHAL
33121,0,20 October 2019,08:18:42,08:18:51,9,00:00:00,00:00:00,0,KAZAV
33122,0,20 October 2019,08:28:33,08:28:43,10,00:00:00,00:00:00,0,KAZAV
33123,2,20 October 2019,08:42:13,08:42:19,6,08:42:19,08:42:23,4,KAZAV
33124,0,20 October 2019,08:52:52,08:53:06,14,00:00:00,00:00:00,0,BASCH
33125,2,20 October 2019,09:04:04,09:04:10,6,09:04:10,09:04:56,46,VICKY
33126,0,20 October 2019,09:16:49,09:17:20,31,00:00:00,00:00:00,0,YITZ
33127,2,20 October 2019,09:27:03,09:27:09,6,09:27:09,09:28:00,51,SHARON
33128,1,20 October 2019,09:41:14,09:41:20,6,09:41:20,09:41:46,26,BASCH
33129,2,20 October 2019,09:47:49,09:47:55,6,09:47:55,09:49:15,80,KAZAV
33130,0,20 October 2019,10:04:47,10:04:56,9,00:00:00,00:00:00,0,MORIAH
33131,0,20 October 2019,10:23:44,10:23:54,10,00:00:00,00:00:00,0,VICKY
33132,0,20 October 2019,10:35:08,10:35:28,20,00:00:00,00:00:00,0,BASCH
33133,2,20 October 2019,10:48:44,10:48:49,5,10:48:49,10:49:17,28,BASCH
33134,0,20 October 2019,11:07:30,11:07:38,8,00:00:00,00:00:00,0,NO_SERVER
33135,0,20 October 2019,11:23:55,11:24:04,9,00:00:00,00:00:00,0,YITZ
33136,2,20 October 2019,11:35:18,11:35:23,5,11:35:23,11:36:15,52,BASCH
33137,0,20 October 2019,11:49:27,11:49:38,11,00:00:00,00:00:00,0,VICKY
33138,0,20 October 2019,12:09:22,12:09:32,10,00:00:00,00:00:00,0,YITZ
33139,0,20 October 2019,12:25:30,12:25:43,13,00:00:00,00:00:00,0,YITZ
33140,0,20 October 2019,12:49:43,12:49:56,13,00:00:00,00:00:00,0,VICKY
33141,1,20 October 2019,13:12:08,13:12:13,5,13:12:13,13:14:05,112,NO_SERVER
33142,0,20 October 2019,13:34:28,13:34:38,10,00:00:00,00:00:00,0,ZOHARI
33143,0,20 October 2019,13:49:47,13:49:57,10,00:00:00,00:00:00,0,VICKY
33144,0,20 October 2019,14:07:17,14:07:34,17,00:00:00,00:00:00,0,NO_SERVER
33146,0,20 October 2019,14:43:10,14:43:10,0,00:00:00,00:00:00,0,NO_SERVER
33147,0,21 October 2019,10:22:39,10:23:17,38,00:00:00,00:00:00,0,NO_SERVER
33148,0,21 October 2019,19:09:10,19:09:19,9,00:00:00,00:00:00,0,YITZ
33149,0,21 October 2019,19:28:05,19:28:13,8,00:00:00,00:00:00,0,MICHAL
33150,0,21 October 2019,19:46:58,19:47:07,9,00:00:00,00:00:00,0,MICHAL
33151,1,21 October 2019,20:06:12,20:06:17,5,20:06:17,20:07:15,58,NO_SERVER
